2011	2	6	13-14	174
2011	2	6	14-15	120
2011	2	6	15-16	196
2011	2	6	16-17	162
2011	2	6	17-18	144
2011	2	6	18-19	348
2011	2	6	19-20	360
2011	2	6	20-21	330
2011	2	6	21-22	204
2011	3	0	06-07	18
2011	3	0	07-08	36
2011	3	0	08-09	36
2011	3	0	09-10	54
2011	3	0	10-11	54
2011	3	0	11-12	90
2011	3	0	12-13	108
2011	3	0	13-14	144
2011	3	0	14-15	162
2011	3	0	15-16	210
2011	3	0	16-17	204
2011	3	0	17-18	282
2011	3	0	18-19	366
2011	3	0	19-20	384
2011	3	0	20-21	472
2011	3	0	21-22	150
2011	3	1	06-07	18
2011	3	1	07-08	36
2011	3	1	08-09	36
2011	3	1	09-10	54
2011	3	1	10-11	54
2011	3	1	11-12	72
2011	3	1	12-13	90
2011	3	1	13-14	90
2011	3	1	14-15	102
2011	3	1	15-16	186
2011	3	1	16-17	246
2011	3	1	17-18	288
2011	3	1	18-19	450
2011	3	1	19-20	366
2011	3	1	20-21	402
2011	3	1	21-22	144
2011	3	2	06-07	18
2011	3	2	07-08	36
2011	3	2	08-09	36
2011	3	2	09-10	54
2011	3	2	10-11	54
2011	3	2	11-12	72
2011	3	2	12-13	90
2011	3	2	13-14	72
2011	3	2	14-15	114
2011	3	2	15-16	168
2011	3	2	16-17	180
2011	3	2	17-18	366
2011	3	2	18-19	462
2011	3	2	19-20	402
2011	3	2	20-21	384
2011	3	2	21-22	156
2011	3	3	06-07	18
2011	3	3	07-08	36
2011	3	3	08-09	36
2011	3	3	09-10	36
2011	3	3	10-11	54
2011	3	3	11-12	54
2011	3	3	12-13	90
2011	3	3	13-14	108
2011	3	3	14-15	150
2011	3	3	15-16	186
2011	3	3	16-17	246
2011	3	3	17-18	324
2011	3	3	18-19	480
2011	3	3	19-20	348
2011	3	3	20-21	348
2011	3	3	21-22	186
2011	3	4	06-07	18
2011	3	4	07-08	54
2011	3	4	08-09	72
2011	3	4	09-10	90
2011	3	4	10-11	150
2011	3	4	11-12	210
2011	3	4	12-13	264
2011	3	4	13-14	282
2011	3	4	14-15	456
2011	3	4	15-16	512
2011	3	4	16-17	588
2011	3	4	17-18	672
2011	3	4	18-19	650
2011	3	4	19-20	690
2011	3	4	20-21	548
2011	3	4	21-22	396
2011	3	5	06-07	36
2011	3	5	07-08	72
2011	3	5	08-09	150
2011	3	5	09-10	156
2011	3	5	10-11	198
2011	3	5	11-12	210
2011	3	5	12-13	336
2011	3	5	13-14	294
2011	3	5	14-15	348
2011	3	5	15-16	408
2011	3	5	16-17	462
2011	3	5	17-18	426
2011	3	5	18-19	462
2011	3	5	19-20	438
2011	3	5	20-21	348
2011	3	5	21-22	234
2011	3	6	06-07	18
2011	3	6	07-08	54
2011	3	6	08-09	72
2011	3	6	09-10	108
2011	3	6	10-11	120
2011	3	6	11-12	192
2011	3	6	12-13	108
2011	3	6	13-14	252
2011	3	6	14-15	276
2011	3	6	15-16	324
2011	3	6	16-17	390
2011	3	6	17-18	324
2011	3	6	18-19	348
2011	3	6	19-20	384
2011	3	6	20-21	252
2011	3	6	21-22	120
2011	4	0	06-07	18
2011	4	0	07-08	36
2011	4	0	08-09	36
2011	4	0	09-10	54
2011	4	0	10-11	72
2011	4	0	11-12	108
2011	4	0	12-13	120
2011	4	0	13-14	186
2011	4	0	14-15	210
2011	4	0	15-16	282
2011	4	0	16-17	348
2011	4	0	17-18	548
2011	4	0	18-19	690
2011	4	0	19-20	672
2011	4	0	20-21	708
2011	4	0	21-22	324
2011	4	1	06-07	18
2011	4	1	07-08	36
2011	4	1	08-09	36
2011	4	1	09-10	54
2011	4	1	10-11	72
2011	4	1	11-12	102
2011	4	1	12-13	114
2011	4	1	13-14	162
2011	4	1	14-15	186
2011	4	1	15-16	288
2011	4	1	16-17	324
2011	4	1	17-18	462
2011	4	1	18-19	534
2011	4	1	19-20	650
2011	4	1	20-21	690
2011	4	1	21-22	246
2011	4	2	06-07	18
2011	4	2	07-08	36
2011	4	2	08-09	36
2011	4	2	09-10	54
2011	4	2	10-11	72
2011	4	2	11-12	96
2011	4	2	12-13	138
2011	4	2	13-14	168
2011	4	2	14-15	180
2011	4	2	15-16	366
2011	4	2	16-17	390
2011	4	2	17-18	426
2011	4	2	18-19	588
2011	4	2	19-20	690
2011	4	2	20-21	708
2011	4	2	21-22	210
2011	4	3	06-07	18
2011	4	3	07-08	36
2011	4	3	08-09	36
2011	4	3	09-10	36
2011	4	3	10-11	72
2011	4	3	11-12	90
2011	4	3	12-13	150
2011	4	3	13-14	186
2011	4	3	14-15	210
2011	4	3	15-16	324
2011	4	3	16-17	348
2011	4	3	17-18	450
2011	4	3	18-19	650
2011	4	3	19-20	672
2011	4	3	20-21	708
2011	4	3	21-22	204
2011	4	4	06-07	18
2011	4	4	07-08	54
2011	4	4	08-09	90
2011	4	4	09-10	96
2011	4	4	10-11	150
2011	4	4	11-12	228
2011	4	4	12-13	300
2011	4	4	13-14	444
2011	4	4	14-15	650
2011	4	4	15-16	690
2011	4	4	16-17	672
2011	4	4	17-18	690
2011	4	4	18-19	708
2011	4	4	19-20	690
2011	4	4	20-21	708
2011	4	4	21-22	402
2011	4	5	06-07	36
2011	4	5	07-08	72
2011	4	5	08-09	150
2011	4	5	09-10	174
2011	4	5	10-11	198
2011	4	5	11-12	210
2011	4	5	12-13	336
2011	4	5	13-14	462
2011	4	5	14-15	456
2011	4	5	15-16	650
2011	4	5	16-17	548
2011	4	5	17-18	588
2011	4	5	18-19	690
2011	4	5	19-20	650
2011	4	5	20-21	588
2011	4	5	21-22	324
2011	4	6	06-07	18
2011	4	6	07-08	54
2011	4	6	08-09	72
2011	4	6	09-10	108
2011	4	6	10-11	150
2011	4	6	11-12	204
2011	4	6	12-13	108
2011	4	6	13-14	348
2011	4	6	14-15	348
2011	4	6	15-16	384
2011	4	6	16-17	426
2011	4	6	17-18	390
2011	4	6	18-19	462
2011	4	6	19-20	408
2011	4	6	20-21	348
2011	4	6	21-22	252
2011	5	0	06-07	18
2011	5	0	07-08	36
2011	5	0	08-09	36
2011	5	0	09-10	54
2011	5	0	10-11	54
2011	5	0	11-12	108
2011	5	0	12-13	120
2011	5	0	13-14	168
2011	5	0	14-15	186
2011	5	0	15-16	246
2011	5	0	16-17	324
2011	5	0	17-18	348
2011	5	0	18-19	384
2011	5	0	19-20	462
2011	5	0	20-21	588
2011	5	0	21-22	210
2011	5	1	06-07	18
2011	5	1	07-08	36
2011	5	1	08-09	36
2011	5	1	09-10	54
2011	5	1	10-11	54
2011	5	1	11-12	90
2011	5	1	12-13	96
2011	5	1	13-14	108
2011	5	1	14-15	120
2011	5	1	15-16	210
2011	5	1	16-17	276
2011	5	1	17-18	324
2011	5	1	18-19	450
2011	5	1	19-20	512
2011	5	1	20-21	438
2011	5	1	21-22	198
2011	5	2	06-07	18
2011	5	2	07-08	36
2011	5	2	08-09	36
2011	5	2	09-10	54
2011	5	2	10-11	54
2011	5	2	11-12	90
2011	5	2	12-13	108
2011	5	2	13-14	102
2011	5	2	14-15	120
